AK;;ALASKA
;FOUR;Fourth JD
;ONE;First JD
;THRE;Third JD
;TWO;Second JD
AL;;ALABAMA
;AUTA;Autauga
;BALD;Baldwin
;BARB;Barbour
;BIBB;Bibb
;BLOU;Blount
;BULL;Bullock
;BUTL;Butler
;CHIL;Chilton
;CHMB;Chambers
;CHOC;Choctaw
;CHOU;Calhoun
;CKEE;Cherokee
;CLAY;Clay
;CLEB;Cleburne
;CLRK;Clarke
;COFF;Coffee
;COLB;Colbert
;CONE;Conecuh
;COOS;Coosa
;COVI;Covington
;CREN;Crenshaw
;CULM;Cullman
;DALE;Dale
;DKLB;De Kalb
;DLLS;Dallas
;ELMO;Elmore
;ESCA;Escambia
;ETOW;Etowah
;FAYE;Fayette
;FRNK;Franklin
;GENE;Geneva
;GREE;Greene
;HALE;Hale
;HNRY;Henry
;HOUS;Houston
;JEFF;Jefferson
;JKSN;Jackson
;LAMA;Lamar
;LAUD;Lauderdale
;LAWR;Lawrence
;LEE;Lee
;LIME;Limestone
;LOWN;Lowndes
;MACO;Macon
;MARI;Marion
;MDSN;Madison
;MGMY;Montgomery
;MNRO;Monroe
;MOBI;Mobile
;MORG;Morgan
;MRGO;Marengo
;MRSH;Marshall
;PERR;Perry
;PICK;Pickens
;PIKE;Pike
;RAND;Randolph
;RSSL;Russell
;SCLR;Saint Clair
;SHEL;Shelby
;SUMT;Sumter
;TDEG;Talladega
;TPOO;Tallapoosa
;TUSC;Tuscaloosa
;WASH;Washington
;WINS;Winston
;WLCX;Wilcox
;WLKR;Walker
AR;;ARKANSAS
;ARKA;Arkansas
;ASHL;Ashley
;BAXT;Baxter
;BNTN;Benton
;BOON;Boone
;BRAD;Bradley
;CHIC;Chicot
;CHOU;Calhoun
;CLAY;Clay
;CLEB;Cleburne
;CLEV;Cleveland
;CLRK;Clark
;COLU;Columbia
;CONW;Conway
;CRAI;Craighead
;CRAW;Crawford
;CRIT;Crittenden
;CROL;Carroll
;CROS;Cross
;DESH;Desha
;DLLS;Dallas
;DREW;Drew
;FAUL;Faulkner
;FRNK;Franklin
;FULT;Fulton
;GARL;Garland
;GRAN;Grant
;GREE;Greene
;HEMP;Hempstead
;HOTS;Hot Spring
;HOWA;Howard
;INDE;Independence
;IZAR;Izard
;JEFF;Jefferson
;JKSN;Jackson
;JOHN;Johnson
;LAFA;Lafayette
;LAWR;Lawrence
;LEE;Lee
;LINC;Lincoln
;LITT;Little River
;LOGA;Logan
;LONO;Lonoke
;MARI;Marion
;MDSN;Madison
;MGMY;Montgomery
;MILL;Miller
;MISS;Mississippi
;MNRO;Monroe
;NEVA;Nevada
;NEWT;Newton
;OUAC;Ouachita
;PERR;Perry
;PHIL;Phillips
;PIKE;Pike
;POIN;Poinsett
;POLK;Polk
;POPE;Pope
